user_id,following
2842,"[145,30]"
2844,[2751]
2848,"[22670,32]"
2850,"[2206,2751]"
2852,[30]
2855,"[21,4129]"
2858,"[2751,21,3316]"
2861,"[49,3316,4231]"
2863,[31]
2864,[30]
2865,"[32,36,669,2751]"
2866,[669]
2868,[34]
2869,"[3316,34,32]"
2873,[34]
2876,"[4045,4143,4145,3344,2749,4259,4383,4437,4467,4471,4500,4522,4531,4007,36,21318,21489,49,1,3,4129,13199,145,12158,265,21358,22671,11725,3881,4041,2669,10657,20966,12770,16269,21771,12411,8334,42,22670,24237,41,23932,21031,21,24586,2977,4231,32329,19023,4298,34,20995,669,30]"
2879,[2751]
2880,"[38,32,145,669]"
2881,[21]
2886,[36]
2887,[21]
2888,[23932]
2894,"[34,32,19023]"
2896,[31]
2904,[30]
2909,[19023]
2912,[30]
2914,"[33,40]"
2915,"[32,4231]"
2916,[2751]
2917,"[30,145]"
2919,[2751]
2925,"[34,4298]"
2928,"[41,40,49]"
2932,[34]
2935,[32]
2936,[30]
2937,"[669,30,36,8334,41,2751,3316,3013,49,21,37,2977,32]"
2940,[32]
2943,"[32,34]"
2946,"[34,32]"
2952,[21]
2958,[32]
2961,[30]
2966,[40]
2969,"[15806,4298,32,4231]"
2971,[30]
2973,[34]
2974,[36]
2980,[2751]
2981,"[19023,22670]"
2982,[22670]
2984,"[145,46,32,4231,21,34,8404,49]"
2987,[669]
2988,"[669,34]"
2989,[32]
2995,[30]
2997,[19023]
3001,[30]
3003,[19023]
3007,"[32,34,30]"
3009,"[32,3013,3316]"
3024,[38]
3028,[34]
3031,"[145,21,1845,5]"
3033,"[34,3013,30,4231,3316,46,669,32]"
3035,"[40,32,3343,3,34,3316,145]"
3047,[30]
3050,[32]
3053,[145]
3058,[21]
3059,"[34,669]"
3061,[34]
3063,"[21,41]"
3064,[8334]
3065,[34]
3067,"[19023,12411]"
3068,[145]
3069,[32]
3071,[32]
3073,[19023]
3074,"[32,41618]"
3075,"[21,34,145,36,40]"
3084,[30]
3085,"[669,2977]"
3087,"[37,34,669]"
3089,"[37,49]"
3091,[40]
3093,"[21,4298]"
3095,[30]
3099,[2751]
3101,[669]
3104,[669]
3106,[4298]
3107,"[669,30]"
3108,[34]
3109,"[34,3316,32,21,9718,40,14260,13199,2751,4231,5017,869,1001]"
3112,[4129]
3113,"[21,2751,34,4231]"
3114,[669]
3122,"[32,34]"
3123,"[32,30]"
3127,"[2751,12770,4231,21031,22670,32,145,19023]"
3131,"[34,30,37,669,32,31,2751,4129]"
3132,[41]
3133,"[669,2751]"
3134,[34]
3137,"[669,34]"
3141,[34]
3145,[30]
3147,"[30,32,21,4217,4298,4155,4231,8392,9031,9641,9932,8602,38271]"
3148,[33]
3159,"[32,36,12411]"
3160,"[30,669,12411,32,38282]"
3162,"[21,2977]"
3163,[34]
3164,[34]
3165,[34]
3166,[32]
3168,[32]
3172,"[2977,3316]"
3173,"[32,30,2751]"
3174,[145]
3178,"[2751,7670,23932]"
3179,"[669,34]"
3183,"[34,2751]"
3184,"[31,4231]"
3185,[30]
3189,"[49,22670,669,30,34,40,12770,4298,21489,2751,41,3316,27726,12411,32,30536,36,12158,7670,9718]"
3190,[34]
3196,"[34,10,32]"
3202,[4231]
